mouse;0.776581;0.544919:-0.490267:0.000000;0.189788:0.000000:0.000000:0.981825;7.670378
mouse;0.725362;0.664997:-0.531584:0.000000;0.195997:0.000000:0.000000:0.980605;7.773492
tvmonitor:mouse;0.738597:0.709751;0.664997:-0.531584:0.000000;0.195997:0.000000:0.000000:0.980605;7.875035
mouse;0.766634;0.664997:-0.531584:0.000000;0.195997:0.000000:0.000000:0.980605;7.976118
tvmonitor:mouse;0.763205:0.758934;0.664997:-0.531584:0.000000;0.195997:0.000000:0.000000:0.980605;8.077915
tvmonitor:mouse;0.742882:0.838223;0.772783:-0.577483:0.000000;0.198360:0.000000:0.000000:0.980129;8.178800
mouse;0.707891;0.772783:-0.577483:0.000000;0.198360:0.000000:0.000000:0.980129;8.282961
tvmonitor;0.755019;0.889108:-0.645792:0.000000;0.206902:0.000000:0.000000:0.978362;8.790394
tvmonitor;0.761057;1.000667:-0.692725:0.000000;0.211472:0.000000:0.000000:0.977384;8.891047
tvmonitor;0.869165;1.000667:-0.692725:0.000000;0.211472:0.000000:0.000000:0.977384;8.993076
chair;0.934955;1.575132:-0.861198:0.000000;0.208276:0.000000:0.000000:0.978070;11.924774
chair;0.942510;1.575132:-0.861198:0.000000;0.208276:0.000000:0.000000:0.978070;12.025965
chair;0.981966;1.575132:-0.861198:0.000000;0.208276:0.000000:0.000000:0.978070;12.127160
chair;0.895893;1.671941:-0.942262:0.000000;0.158931:0.000000:0.000000:0.987290;12.229226
tvmonitor;0.893679;1.671941:-0.942262:0.000000;0.158931:0.000000:0.000000:0.987290;12.330762
chair:tvmonitor;0.965932:0.785806;1.671941:-0.942262:0.000000;0.158931:0.000000:0.000000:0.987290;12.431875
chair;0.810553;1.671941:-0.942262:0.000000;0.158931:0.000000:0.000000:0.987290;12.534290
chair;0.814171;1.685988:-0.962392:0.000000;0.095916:0.000000:0.000000:0.995389;12.737247
chair;0.753105;1.685988:-0.962392:0.000000;0.095916:0.000000:0.000000:0.995389;12.838662
chair;0.983236;1.685988:-0.962392:0.000000;0.095916:0.000000:0.000000:0.995389;12.939484
chair:tvmonitor;0.959130:0.749699;1.685988:-0.962392:0.000000;0.095916:0.000000:0.000000:0.995389;13.040844
chair;0.983625;1.685988:-0.962392:0.000000;0.095916:0.000000:0.000000:0.995389;13.142025
chair:tvmonitor;0.989221:0.792737;1.689587:-0.945880:0.000000;0.037318:0.000000:0.000000:0.999303;13.246234
chair:chair;0.989943:0.835348;1.689587:-0.945880:0.000000;0.037318:0.000000:0.000000:0.999303;13.347233
chair:chair;0.992715:0.872099;1.689587:-0.945880:0.000000;0.037318:0.000000:0.000000:0.999303;13.449661
chair:chair;0.994886:0.792326;1.701737:-0.971300:0.000000;0.013150:0.000000:0.000000:-0.999914;13.551994
chair:chair:tvmonitor:tvmonitor:tvmonitor;0.998277:0.887399:0.854296:0.843934:0.719623;1.701737:-0.971300:0.000000;0.013150:0.000000:0.000000:-0.999914;13.654757
chair:chair:tvmonitor;0.999081:0.965765:0.814922;1.701737:-0.971300:0.000000;0.013150:0.000000:0.000000:-0.999914;13.756294
chair:chair:tvmonitor;0.996807:0.933127:0.960399;1.701737:-0.971300:0.000000;0.013150:0.000000:0.000000:-0.999914;13.857993
chair:chair:tvmonitor;0.999449:0.954937:0.934908;1.736606:-0.980894:0.000000;0.068295:0.000000:0.000000:-0.997665;13.959579
chair:chair:tvmonitor:mouse;0.999059:0.988692:0.934095:0.704957;1.736606:-0.980894:0.000000;0.068295:0.000000:0.000000:-0.997665;14.058916
chair:chair:tvmonitor:mouse;0.997913:0.980078:0.982644:0.708013;1.736606:-0.980894:0.000000;0.068295:0.000000:0.000000:-0.997665;14.159909
chair:chair:tvmonitor:mouse;0.998747:0.971208:0.943425:0.800996;1.736606:-0.980894:0.000000;0.068295:0.000000:0.000000:-0.997665;14.261585
chair:chair:tvmonitor;0.998703:0.989373:0.978217;1.736606:-0.980894:0.000000;0.068295:0.000000:0.000000:-0.997665;14.363289
chair:chair:tvmonitor;0.998260:0.988887:0.975226;1.738079:-0.969990:0.000000;0.128282:0.000000:0.000000:-0.991738;14.465812
chair:chair:tvmonitor;0.996023:0.982471:0.982922;1.738079:-0.969990:0.000000;0.128282:0.000000:0.000000:-0.991738;14.567355
chair:chair:tvmonitor;0.994760:0.992994:0.984721;1.738079:-0.969990:0.000000;0.128282:0.000000:0.000000:-0.991738;14.669411
chair:chair:tvmonitor;0.986016:0.985933:0.987471;1.747609:-0.993401:0.000000;0.178739:0.000000:0.000000:-0.983897;14.770788
chair:chair:tvmonitor;0.985038:0.977637:0.984547;1.747609:-0.993401:0.000000;0.178739:0.000000:0.000000:-0.983897;14.871990
chair:chair:tvmonitor:tvmonitor;0.993842:0.950559:0.989360:0.747682;1.747609:-0.993401:0.000000;0.178739:0.000000:0.000000:-0.983897;14.973009
